MATCH:  A =  7678494, B =  5734816, M = 10951993, mu = 196, Z =    6280046, golden =         6280046
MATCH:  A =  5983951, B = 14777611, M = 15711721, mu = 136, Z =   11952955, golden =        11952955
MATCH:  A =  9023633, B =  3195937, M = 11562323, mu = 185, Z =    8430707, golden =         8430707
MATCH:  A =  8617610, B = 15911234, M = 16698771, mu = 128, Z =   11084479, golden =        11084479
MATCH:  A =  5072935, B =  4693387, M = 11612997, mu = 184, Z =    2019517, golden =         2019517
MATCH:  A =  7603352, B =  9553282, M = 10547505, mu = 203, Z =    1040519, golden =         1040519
MATCH:  A =  4353340, B =  6202131, M =  9236109, mu = 232, Z =    2875077, golden =         2875077
MATCH:  A =  1226046, B =  2400155, M = 15405291, mu = 139, Z =   12560892, golden =        12560892
MATCH:  A =  5670403, B =   560327, M =  8704325, mu = 246, Z =    1077306, golden =         1077306
MATCH:  A =  2208309, B =  3896764, M = 11311983, mu = 189, Z =    7304316, golden =         7304316
MATCH:  A =  4643076, B =  3131613, M =  8764969, mu = 245, Z =    4907860, golden =         4907860
MATCH:  A =    22272, B =  4947346, M = 13243599, mu = 162, Z =     546432, golden =          546432
MATCH:  A = 12943683, B =  1935376, M = 15226635, mu = 141, Z =    3074538, golden =         3074538
MATCH:  A =  4613057, B = 10625290, M = 13283439, mu = 161, Z =    2074748, golden =         2074748
MATCH:  A =  5541037, B =  2693844, M =  8442515, mu = 254, Z =    1940658, golden =         1940658
MATCH:  A =  3402418, B =  3387592, M =  8777907, mu = 244, Z =    6430873, golden =         6430873
MATCH:  A = 11836984, B =  4394640, M = 12056477, mu = 178, Z =    9837819, golden =         9837819
MATCH:  A =  1498744, B = 11932924, M = 16738031, mu = 128, Z =   12980328, golden =        12980328
MATCH:  A =  9010152, B =  6868074, M = 11994855, mu = 179, Z =   10138413, golden =        10138413
MATCH:  A =   174836, B =  6003486, M =  9562663, mu = 224, Z =    8462090, golden =         8462090
MATCH:  A =  7830478, B =  4186175, M = 15321247, mu = 140, Z =    4570138, golden =         4570138
MATCH:  A = 10077152, B = 10678444, M = 14581895, mu = 147, Z =   13443598, golden =        13443598
MATCH:  A =  7331429, B =  4494863, M = 11247221, mu = 190, Z =    7521940, golden =         7521940
MATCH:  A = 11864584, B =  6431305, M = 11994157, mu = 179, Z =    6557281, golden =         6557281
MATCH:  A = 11325225, B =  8861316, M = 13241143, mu = 162, Z =     385938, golden =          385938
MATCH:  A =  9838497, B =  5269049, M = 13278863, mu = 161, Z =   10167297, golden =        10167297
MATCH:  A =  3497712, B = 11608139, M = 14973509, mu = 143, Z =   14623221, golden =        14623221
MATCH:  A =  5646324, B =  5638822, M =  9905791, mu = 216, Z =    6999797, golden =         6999797
MATCH:  A = 12338553, B =  8333485, M = 15054295, mu = 142, Z =    8190070, golden =         8190070
MATCH:  A =  9909742, B =  3197378, M = 13420687, mu = 160, Z =    9283749, golden =         9283749
MATCH:  A =   996674, B =  1968502, M = 10894261, mu = 197, Z =    7298858, golden =         7298858
MATCH:  A =  3573577, B =  6198664, M = 15905291, mu = 135, Z =    8893682, golden =         8893682
MATCH:  A =  1925517, B = 14483873, M = 14512585, mu = 147, Z =    7504746, golden =         7504746
MATCH:  A =  5400812, B =  2153425, M = 12524445, mu = 171, Z =    6380765, golden =         6380765
MATCH:  A =  2635107, B =  6360738, M = 15854453, mu = 135, Z =    8498537, golden =         8498537
MATCH:  A = 13357040, B = 13517788, M = 14243967, mu = 150, Z =   12550061, golden =        12550061
MATCH:  A =  3995403, B =  6871323, M = 11149023, mu = 192, Z =    4673256, golden =         4673256
MATCH:  A =  3502182, B =  3691273, M = 10211495, mu = 210, Z =    2263566, golden =         2263566
MATCH:  A = 15166282, B =  4347524, M = 16741657, mu = 128, Z =   14515543, golden =        14515543
MATCH:  A =  5259153, B =  5823001, M = 13791795, mu = 155, Z =    6803223, golden =         6803223
MATCH:  A =  4863490, B =  5953271, M = 12717015, mu = 168, Z =    6602300, golden =         6602300
MATCH:  A =  5519044, B =  2601991, M = 13098879, mu = 163, Z =    5285719, golden =         5285719
MATCH:  A =  4386365, B = 11681649, M = 15101913, mu = 142, Z =    1010187, golden =         1010187
MATCH:  A =  3505201, B =  6858463, M =  9825645, mu = 218, Z =    3652303, golden =         3652303
MATCH:  A =   479395, B =  2852569, M = 12925973, mu = 166, Z =    4002220, golden =         4002220
